epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,268.485,1.38361,2.46137,1.25844,0.65329,0.45034,0.4586,0.27397,1.28426,1.42061,1.03455,0.00332718,0.00332718,0.00332718
2,502.417,1.03767,1.41414,1.0181,0.72749,0.53657,0.59765,0.38157,1.1628,1.12702,0.94115,0.00644072,0.00644072,0.00644072
3,735.746,0.9366,1.12237,0.9707,0.59286,0.54967,0.58195,0.37927,1.09548,1.18022,0.92912,0.00933426,0.00933426,0.00933426
4,968.23,0.8324,0.89891,0.93577,0.63532,0.57958,0.65142,0.43104,1.06629,1.05733,0.89854,0.00901,0.00901,0.00901
5,1199.86,0.75233,0.77452,0.91491,0.70977,0.63543,0.71124,0.47677,1.00932,0.8987,0.8661,0.00868,0.00868,0.00868
6,1431.2,0.70197,0.71921,0.90349,0.76041,0.71839,0.78283,0.57772,0.87769,0.75117,0.84453,0.00835,0.00835,0.00835
7,1661.02,0.66626,0.67281,0.89505,0.72824,0.67959,0.74985,0.54482,0.91923,0.83911,0.85317,0.00802,0.00802,0.00802
8,1891.53,0.63828,0.64336,0.88772,0.82868,0.75375,0.83237,0.62014,0.88772,0.69988,0.84009,0.00769,0.00769,0.00769
9,2121.15,0.61887,0.62472,0.8827,0.84862,0.77906,0.85691,0.65099,0.82608,0.63156,0.82447,0.00736,0.00736,0.00736
10,2350.22,0.61327,0.61256,0.88035,0.8328,0.77026,0.85206,0.64278,0.85888,0.65497,0.82954,0.00703,0.00703,0.00703
11,2575.69,0.777,0.61147,0.81326,0.84501,0.79339,0.8626,0.63536,0.93025,0.64565,0.83901,0.0067,0.0067,0.0067
12,2797.25,0.75686,0.58677,0.80691,0.84713,0.78363,0.86297,0.65778,0.81933,0.61311,0.82154,0.00637,0.00637,0.00637
13,3018.05,0.74421,0.57261,0.80518,0.86487,0.81964,0.88749,0.69618,0.74889,0.54564,0.8086,0.00604,0.00604,0.00604
14,3238.1,0.72929,0.5669,0.80118,0.86966,0.81678,0.88881,0.6705,0.87407,0.59441,0.82699,0.00571,0.00571,0.00571
15,3459.24,0.72234,0.54962,0.79848,0.87053,0.82142,0.89464,0.6953,0.79892,0.55358,0.81419,0.00538,0.00538,0.00538
16,3678.84,0.71087,0.53396,0.79524,0.86986,0.83014,0.89625,0.69267,0.81212,0.55477,0.81661,0.00505,0.00505,0.00505
17,3898.8,0.70322,0.52784,0.79473,0.8761,0.84011,0.90257,0.70188,0.80626,0.54503,0.81519,0.00472,0.00472,0.00472
18,4120.69,0.69378,0.52743,0.79265,0.87444,0.84508,0.90324,0.70309,0.80475,0.54306,0.8129,0.00439,0.00439,0.00439
19,4339.29,0.68697,0.51404,0.79084,0.88847,0.83579,0.90494,0.7072,0.78836,0.53432,0.81005,0.00406,0.00406,0.00406
20,4558.45,0.67647,0.5051,0.78747,0.88382,0.84042,0.90742,0.70331,0.81712,0.54489,0.81508,0.00373,0.00373,0.00373
21,4777.85,0.66985,0.49467,0.7841,0.89441,0.83681,0.90864,0.70487,0.82095,0.53837,0.81292,0.0034,0.0034,0.0034
22,4998.86,0.66238,0.48763,0.78419,0.87937,0.85011,0.90922,0.70968,0.80577,0.53269,0.81152,0.00307,0.00307,0.00307
23,5218.28,0.65367,0.47986,0.78234,0.88814,0.84425,0.9098,0.71079,0.80716,0.53482,0.81205,0.00274,0.00274,0.00274
24,5437.97,0.64573,0.47226,0.77922,0.89115,0.84726,0.91343,0.71331,0.80323,0.53219,0.81059,0.00241,0.00241,0.00241
25,5659.47,0.63563,0.46427,0.77709,0.88782,0.85039,0.91414,0.71549,0.79409,0.52604,0.80871,0.00208,0.00208,0.00208
26,5878.22,0.63553,0.45664,0.77494,0.89506,0.84612,0.91418,0.71473,0.80121,0.52778,0.8099,0.00175,0.00175,0.00175
27,6096.57,0.61904,0.44243,0.77357,0.89368,0.84721,0.91434,0.71428,0.80558,0.52808,0.80979,0.00142,0.00142,0.00142
28,6315.32,0.6092,0.43442,0.77266,0.89455,0.84881,0.91417,0.71522,0.80527,0.52725,0.80919,0.00109,0.00109,0.00109
29,6535.01,0.60863,0.42901,0.77043,0.89002,0.85308,0.91416,0.71531,0.80509,0.52706,0.80882,0.00076,0.00076,0.00076
30,6755.3,0.59787,0.42033,0.7689,0.88927,0.85201,0.91454,0.71626,0.80173,0.52616,0.80794,0.00043,0.00043,0.00043
