epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,382.185,1.50063,1.9433,1.24927,0.61826,0.58348,0.62484,0.40691,1.136,1.03469,0.99476,0.00332718,0.00332718,0.00332718
2,743.618,1.1071,0.91136,0.93014,0.73081,0.66865,0.72851,0.5009,1.02817,0.86551,0.9024,0.00649567,0.00649567,0.00649567
3,1106.11,1.03232,0.8198,0.88257,0.59973,0.43108,0.48215,0.30023,1.14737,1.39833,0.94737,0.00949915,0.00949915,0.00949915
4,1466.12,0.95649,0.75183,0.85622,0.73708,0.68938,0.7484,0.51972,0.97313,0.8471,0.86359,0.0092575,0.0092575,0.0092575
5,1826.89,0.86884,0.66879,0.83413,0.74649,0.68402,0.75588,0.51753,0.96638,0.79932,0.86541,0.00901,0.00901,0.00901
6,2186.08,0.81962,0.62122,0.82114,0.84348,0.79227,0.86852,0.66108,0.80579,0.61512,0.82505,0.0087625,0.0087625,0.0087625
7,2545.3,0.78892,0.59019,0.8126,0.74925,0.66133,0.73571,0.51658,0.9707,0.83064,0.85767,0.008515,0.008515,0.008515
8,2905.46,0.76127,0.57085,0.80784,0.83775,0.79726,0.86716,0.65599,0.83631,0.62138,0.82026,0.0082675,0.0082675,0.0082675
9,3263.7,0.75017,0.55007,0.80077,0.85427,0.81411,0.88268,0.69513,0.7419,0.56152,0.80622,0.00802,0.00802,0.00802
10,3621.25,0.7355,0.54087,0.7997,0.82152,0.76654,0.84941,0.64215,0.78256,0.60373,0.81419,0.0077725,0.0077725,0.0077725
11,3979.17,0.72088,0.52785,0.79487,0.87072,0.81917,0.89573,0.71367,0.73017,0.52588,0.80092,0.007525,0.007525,0.007525
12,4338.08,0.70676,0.51642,0.79228,0.87176,0.82917,0.89661,0.70112,0.78613,0.53761,0.81046,0.0072775,0.0072775,0.0072775
13,4695.06,0.69715,0.5051,0.79072,0.87488,0.83134,0.90314,0.71721,0.73599,0.5135,0.80273,0.00703,0.00703,0.00703
14,5053.82,0.69007,0.50509,0.78962,0.88243,0.84078,0.91022,0.73408,0.69502,0.49276,0.79615,0.0067825,0.0067825,0.0067825
15,5410.18,0.67828,0.49472,0.78573,0.88544,0.84119,0.91472,0.72862,0.73267,0.5082,0.79959,0.006535,0.006535,0.006535
