epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
16,5768.41,0.67468,0.48467,0.78321,0.89346,0.83732,0.91196,0.72275,0.76118,0.50839,0.80171,0.0062875,0.0062875,0.0062875
17,6126.38,0.6687,0.47647,0.78263,0.89203,0.84753,0.91415,0.72455,0.76952,0.50027,0.804,0.00604,0.00604,0.00604
18,6484.5,0.66028,0.48096,0.78184,0.91022,0.8412,0.92094,0.73364,0.74481,0.4891,0.80068,0.0057925,0.0057925,0.0057925
19,6842.05,0.65735,0.46959,0.77988,0.9021,0.85381,0.92233,0.74081,0.71897,0.47296,0.79745,0.005545,0.005545,0.005545
20,7199.02,0.65004,0.46533,0.77852,0.90312,0.8525,0.92187,0.73326,0.74633,0.48665,0.80187,0.0052975,0.0052975,0.0052975
21,7556.35,0.64442,0.45927,0.77437,0.89483,0.85992,0.92347,0.73903,0.73433,0.48232,0.79887,0.00505,0.00505,0.00505
22,7914.03,0.64123,0.45223,0.77493,0.90355,0.85638,0.92358,0.73646,0.74553,0.48392,0.80126,0.0048025,0.0048025,0.0048025
23,8271.86,0.63367,0.44829,0.7727,0.89614,0.86214,0.92423,0.74243,0.72919,0.47726,0.79676,0.004555,0.004555,0.004555
24,8629.29,0.6225,0.43836,0.77108,0.90003,0.85826,0.92343,0.73746,0.75234,0.48334,0.79959,0.0043075,0.0043075,0.0043075
25,8987.1,0.61987,0.43248,0.76862,0.90337,0.85683,0.92395,0.73989,0.74846,0.47977,0.79973,0.00406,0.00406,0.00406
26,9344.66,0.6231,0.43248,0.76797,0.90472,0.85731,0.92543,0.73944,0.75724,0.48324,0.80051,0.0038125,0.0038125,0.0038125
27,9701.99,0.60547,0.41985,0.76675,0.89597,0.86516,0.92644,0.74144,0.75332,0.48157,0.79969,0.003565,0.003565,0.003565
28,10059.7,0.60312,0.41663,0.76668,0.90302,0.86076,0.92662,0.74285,0.74895,0.479,0.79954,0.0033175,0.0033175,0.0033175
29,10418.3,0.59604,0.4138,0.76601,0.90636,0.85886,0.92756,0.7452,0.74477,0.4766,0.7985,0.00307,0.00307,0.00307
30,10776.2,0.59239,0.40924,0.76464,0.90603,0.86045,0.92847,0.74734,0.73838,0.4735,0.79716,0.0028225,0.0028225,0.0028225
31,11140.8,0.58754,0.40171,0.76313,0.9056,0.8616,0.92896,0.75029,0.73044,0.47022,0.79563,0.002575,0.002575,0.002575
32,11500.9,0.58325,0.39658,0.76144,0.90861,0.85933,0.92892,0.75052,0.73015,0.46985,0.79542,0.0023275,0.0023275,0.0023275
33,11862.3,0.57656,0.3899,0.76057,0.90723,0.86002,0.92899,0.75072,0.73109,0.46991,0.79542,0.00208,0.00208,0.00208
34,12219.7,0.56869,0.38304,0.75938,0.90748,0.85906,0.92894,0.75093,0.73026,0.46934,0.79519,0.0018325,0.0018325,0.0018325
35,12577.3,0.5673,0.37858,0.75751,0.90685,0.8594,0.92939,0.75133,0.72942,0.46878,0.7951,0.001585,0.001585,0.001585
36,12935.5,0.56506,0.37114,0.75602,0.90781,0.85925,0.92958,0.75194,0.72974,0.4685,0.79503,0.0013375,0.0013375,0.0013375
37,13293.9,0.54873,0.36269,0.7559,0.90602,0.86066,0.92932,0.75224,0.72904,0.46801,0.79487,0.00109,0.00109,0.00109
38,13652.2,0.54795,0.35548,0.75303,0.906,0.86068,0.92926,0.75285,0.72767,0.46724,0.79451,0.0008425,0.0008425,0.0008425
39,14009.6,0.53957,0.34937,0.75203,0.90631,0.86059,0.92934,0.75325,0.72675,0.46675,0.79434,0.000595,0.000595,0.000595
40,14367.1,0.53233,0.34247,0.75079,0.90714,0.86162,0.92928,0.75389,0.72631,0.46664,0.7942,0.0003475,0.0003475,0.0003475
