epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,707.167,1.31047,1.53853,1.12372,0.77124,0.64885,0.72219,0.48955,1.00029,0.87742,0.89419,0.00333026,0.00333026,0.00333026
2,1400,1.02251,0.82152,0.87833,0.70785,0.61214,0.68917,0.47236,1.01863,0.9776,0.89403,0.00649867,0.00649867,0.00649867
3,2095.76,0.97727,0.79419,0.86037,0.54072,0.34457,0.31023,0.18772,1.29555,1.73621,1.04708,0.00950208,0.00950208,0.00950208
4,2786.54,0.91844,0.73588,0.84022,0.72587,0.58083,0.67742,0.46232,1.04468,0.96574,0.88026,0.0092575,0.0092575,0.0092575
5,3476.86,0.83237,0.63822,0.81743,0.82591,0.778,0.84805,0.63123,0.87061,0.66249,0.82885,0.00901,0.00901,0.00901
6,4167,0.78774,0.59647,0.80693,0.87005,0.80078,0.88744,0.69294,0.75835,0.55815,0.8079,0.0087625,0.0087625,0.0087625
7,4857.89,0.75622,0.55919,0.80072,0.88124,0.82559,0.89735,0.70342,0.79388,0.52958,0.80898,0.008515,0.008515,0.008515
8,5548.78,0.7334,0.54039,0.7931,0.88049,0.82912,0.90091,0.71427,0.7673,0.51104,0.80346,0.0082675,0.0082675,0.0082675
9,6239.56,0.71635,0.52283,0.78839,0.8813,0.83415,0.90427,0.7257,0.73364,0.49748,0.80095,0.00802,0.00802,0.00802
10,6928.83,0.70418,0.51372,0.78817,0.88482,0.84612,0.91014,0.72965,0.73585,0.48899,0.80068,0.0077725,0.0077725,0.0077725
11,7619.98,0.69183,0.49897,0.78261,0.89307,0.85146,0.91529,0.74146,0.70634,0.47891,0.7968,0.007525,0.007525,0.007525
12,8310.65,0.67694,0.491,0.78351,0.90059,0.85165,0.91808,0.74459,0.7046,0.47191,0.79446,0.0072775,0.0072775,0.0072775
13,9001.33,0.67322,0.4827,0.77954,0.8999,0.85768,0.9212,0.7467,0.71398,0.47015,0.79615,0.00703,0.00703,0.00703
14,9691.46,0.6672,0.4811,0.77817,0.89753,0.85784,0.92124,0.74747,0.7156,0.46884,0.7967,0.0067825,0.0067825,0.0067825
15,10382.3,0.65206,0.46718,0.7777,0.89835,0.85944,0.92152,0.74776,0.71713,0.46757,0.79603,0.006535,0.006535,0.006535
16,11073.7,0.64695,0.45768,0.77401,0.9028,0.8577,0.92283,0.74995,0.71041,0.46268,0.79457,0.0062875,0.0062875,0.0062875
17,11765.2,0.64398,0.45091,0.77227,0.90232,0.86161,0.92393,0.75118,0.70724,0.45906,0.79388,0.00604,0.00604,0.00604
