epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,12455.8,0.63391,0.45393,0.77232,0.90243,0.8618,0.92423,0.75149,0.70706,0.45774,0.79334,0.0057925,0.0057925,0.0057925
19,13146.2,0.63312,0.44571,0.76954,0.90263,0.86036,0.92455,0.75162,0.70675,0.4568,0.79306,0.005545,0.005545,0.005545
20,13836,0.62356,0.43785,0.76874,0.90464,0.86099,0.92505,0.75262,0.70438,0.45504,0.7925,0.0052975,0.0052975,0.0052975
21,14526.8,0.62006,0.43324,0.7668,0.90626,0.86105,0.92574,0.75483,0.697,0.45152,0.79105,0.00505,0.00505,0.00505
22,15218.3,0.61972,0.42772,0.76538,0.90553,0.86206,0.92608,0.75556,0.69443,0.44993,0.79054,0.0048025,0.0048025,0.0048025
23,15908.1,0.60685,0.42094,0.76473,0.90463,0.86294,0.92683,0.75702,0.69129,0.44807,0.79007,0.004555,0.004555,0.004555
24,16598.4,0.60635,0.41771,0.76114,0.90542,0.86288,0.92728,0.75753,0.69116,0.44741,0.79008,0.0043075,0.0043075,0.0043075
25,17288.2,0.59704,0.40866,0.76047,0.90535,0.86261,0.92776,0.75828,0.68969,0.44594,0.78969,0.00406,0.00406,0.00406
26,17978,0.59584,0.407,0.75905,0.90574,0.86322,0.92834,0.75907,0.68899,0.44495,0.78941,0.0038125,0.0038125,0.0038125
27,18668.2,0.58801,0.39831,0.75833,0.90822,0.86173,0.92873,0.75971,0.68849,0.44388,0.78915,0.003565,0.003565,0.003565
28,19359.2,0.57892,0.39296,0.75729,0.91181,0.86119,0.92951,0.76006,0.68927,0.44325,0.78903,0.0033175,0.0033175,0.0033175
29,20057.4,0.57773,0.38945,0.75816,0.9106,0.86299,0.93031,0.76097,0.68913,0.44253,0.78885,0.00307,0.00307,0.00307
30,20751,0.56707,0.38368,0.75767,0.90879,0.86458,0.93044,0.76185,0.68916,0.44176,0.78879,0.0028225,0.0028225,0.0028225
31,21444.9,0.56374,0.37891,0.75513,0.91203,0.86275,0.93094,0.76273,0.68746,0.44041,0.78842,0.002575,0.002575,0.002575
32,22136.2,0.55785,0.37307,0.75386,0.91461,0.86136,0.93124,0.76358,0.68714,0.43983,0.78834,0.0023275,0.0023275,0.0023275
33,22829.7,0.5523,0.36355,0.75344,0.91615,0.86234,0.93177,0.76425,0.68814,0.4395,0.78828,0.00208,0.00208,0.00208
34,23522.3,0.55256,0.3598,0.75164,0.91468,0.86354,0.93209,0.7649,0.68727,0.43855,0.78806,0.0018325,0.0018325,0.0018325
35,24213.7,0.54137,0.35218,0.75156,0.91489,0.86342,0.93215,0.765,0.68833,0.43856,0.78808,0.001585,0.001585,0.001585
36,24904.2,0.5334,0.34598,0.75044,0.91701,0.86129,0.93224,0.76523,0.68845,0.43799,0.78786,0.0013375,0.0013375,0.0013375
37,25594.8,0.52915,0.33957,0.74834,0.91876,0.86057,0.93233,0.76566,0.68878,0.43774,0.78773,0.00109,0.00109,0.00109
38,26285.6,0.52612,0.3302,0.74582,0.92014,0.86119,0.9325,0.76556,0.68946,0.43809,0.78748,0.0008425,0.0008425,0.0008425
39,26976.7,0.51949,0.32717,0.74536,0.91852,0.86118,0.93254,0.76566,0.69037,0.4383,0.78733,0.000595,0.000595,0.000595
40,27667,0.51362,0.31961,0.74509,0.91853,0.86187,0.93261,0.76604,0.69049,0.43844,0.78715,0.0003475,0.0003475,0.0003475
